LOCATION,FORMAL_NAME,LOC_CODE,PARK_TYPE,PARK_CLASS,GIS_ACRES,DESIGNATED,FIRST_AQ_DATE,MASTER_PLAN,MAINT_DIST,COUNCIL_DIST,POLICE_DIST,CROSS_STREETS,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,LATITUDE,LONGITUDE,MARKETING_CODE,FACILITIES,DIAGRAM,PHOTO,PARCEL_MATCH,BND_QC,GLOBALID
Hobbs Peak,Hobbs Peak Tract,M29,Conservation Tract,Mountain,38.84938139,Yes,0,2008,MP,None,None,,,,,,CO,,39.59294731,-105.30288831,,"Scenic View, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Platt,Platt (James H) Park,824,Park,Neighborhood,3.72641791,Yes,1894,2002,SW,7,4,Iowa Av & Logan St,"165,158",1500 S Grant St,,Denver,CO,,39.68848321,-104.98340258,PK,"Recreation Center, Library, Flemming Mansion (Special Use), Drinking Fountain, Benches, Picnic Tables, Playground, Basketball Court, Horseshoe Pits",documents/parkart/ParkArt_Platt (James H) Park.pdf,images/Parks/plattpark.jpg,Yes,2009-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Athmar,Athmar Park,802,Park,Neighborhood,3.29292827,Yes,1977,None,SW,7,4,Clay St & Mexico Av,"102,036",2680 W Mexico Ave,,Denver,CO,,39.6851676,-105.01972179,PK,"Recreation Center, Picnic Tables, Horseshoe Pits, Baseball / Softball Field",documents/parkart/ParkArt_Athmar Park.pdf,images/Parks/athmarpark.jpg,Yes,2009-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Pinecrest Village,Pinecrest Village Park,161,Park,Neighborhood,7.12265672,Yes,1963,None,SW,2,4,Chase St & Lehigh Av,"154,331",5300 W Lehigh Ave,,Denver,CO,,39.64668384,-105.05556228,PK,"Playground, Baseball / Softball Field, Soccer Field, Benches, Horseshoe Pits, Bike/Pedestrian Path",documents/parkart/ParkArt_Pinecrest Village Park.pdf,images/Parks/pinecrestvillagepark.jpg,Yes,2009-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Pinehurst,Pinehurst Park,159,Park,Neighborhood,13.6992457,Yes,1975,None,SW,2,4,Quincy Av & Wolff St,"366,224",4600 W Quincy Ave,,Denver,CO,,39.63758808,-105.0474722,PK,"Picnic Shelter, Picnic Tables, Benches, Playground, Basketball Court, Soccer Field, Bike/Pedestrian Path, Drinking Fountain",documents/parkart/ParkArt_Pinehurst Park.pdf,images/Parks/pinehurstpark.jpg,Yes,2009-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Cook,Cook (Judge Joseph E) Park,763,Park,Community,37.85856832,Yes,1954,None,E,6,3,Florida Av & Monaco Pkwy,"190,239",7100 E Cherry Creek South Dr,,Denver,CO,,39.68719896,-104.91017132,PK,"Recreation Center, Outdoor Pool, Benches, Picnic Shelter, Picnic Tables, Playground, Restroom, Drinking Fountain, Basketball Court, Bike/Pedestrian Path, Soccer Field, Baseball / Softball Field, Natural Areas, Picnic Area",documents/parkart/ParkArt_Cook (Judge Joseph E) Park.pdf,images/Parks/cookpark.jpg,Yes,2008-12-12 00:00:00,{00000000-0000-0000-0000-000000000000}
Babi-Yar,Babi-Yar Park,601,Park,Community,25.21037694,Partial,1970,2006,E,4,3,Havana St & Parker Rd,"140,903",10451 E Yale Ave,,Denver,CO,,39.669062,-104.86810207,PK,"Benches, Fountain, Memorial / Monument, Natural Areas, Bike/Pedestrian Path, Parking Lot",documents/parkart/ParkArt_Babi-Yar Park.pdf,images/Parks/babiyarpark.jpg,No,2009-01-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Garland & Saratoga,Unnamed Garland & Saratoga Park,166,Park,Neighborhood,5.05656888,Yes,1979,None,SW,2,4,Garland St & Saratoga Pl,"366,375",4901 S Garland St,,Denver,CO,,39.62715529,-105.10346507,PK,"Benches, Picnic Tables, Playground, Bike/Pedestrian Path, Flower Beds",documents/parkart/ParkArt_Unnamed Garland & Saratoga Park.pdf,images/Parks/garlandsaratogapark.jpg,Yes,2008-11-10 00:00:00,{00000000-0000-0000-0000-000000000000}
Lawson,Lawson (Sonny) Park,208,Park,Neighborhood,2.48476817,Yes,1911,None,NW,8,6,23rd St & Welton St,"356,582",2301 Welton St,,Denver,CO,,39.75185879,-104.98268713,PK,"Drinking Fountain, Playground, Restroom, Basketball Court, Baseball / Softball Field, Benches, Ping Pong Table",documents/parkart/ParkArt_Lawson (Sonny) Park.pdf,images/Parks/lawsonpark.jpg,Yes,2009-02-04 00:00:00,{00000000-0000-0000-0000-000000000000}
Ferguson,Ferguson (WH) Park,421,Park,Pocket,0.26370715,Yes,1967,None,NE,8,2,23rd Av & Dexter St,"18,166",4716 E 23rd Ave,,Denver,CO,,39.75081245,-104.93251192,PK,"Benches, Picnic Shelter, Picnic Tables, Playground",documents/parkart/ParkArt_Ferguson (WH) Park.pdf,images/Parks/fergusonpark.jpg,Yes,2008-12-02 00:00:00,{00000000-0000-0000-0000-000000000000}
Pulaski,Pulaski Park,319,Park,Community,13.39420141,Yes,1947,None,E,10,3,Bayaud Av & Steele St.,"85,101",3300 E Bayaud Ave,,Denver,CO,,39.71332344,-104.9478169,PK,"Drinking Fountain, Picnic Tables, Playground, Restroom, Tennis Court, Gates Tennis Center, Picnic Area",documents/parkart/ParkArt_Pulaski Park.pdf,images/Parks/pulaskipark.jpg,No,2008-12-12 00:00:00,{00000000-0000-0000-0000-000000000000}
West-Bar-Val-Wood,West-Bar-Val-Wood Park,838,Park,Neighborhood,12.66431292,Yes,1955,None,SW,3,4,Bayaud Av & Tejon St,"78,224",2001 W Cedar Ave,,Denver,CO,,39.71393486,-105.01275942,PK,"Picnic Tables, Playground, Basketball Court, Football Field, Baseball / Softball Field, Bleachers, Bike/Pedestrian Path",documents/parkart/ParkArt_West-Bar-Val-Wood Park.pdf,images/Parks/wesbarvalwoodpark.jpg,Yes,2009-02-26 00:00:00,{00000000-0000-0000-0000-000000000000}
Snyder Mountain,Snyder Mountain Tracts,M45,Conservation Tract,Mountain,236.25794537,Yes,1926,2008,MP,None,None,,,,,,CO,,39.66489558,-105.42860319,,"Scenic View, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-24 00:00:00,{00000000-0000-0000-0000-000000000000}
Argo,Argo Park,212,Park,Neighborhood,12.0513956,Yes,1906,None,NW,9,2,47th Av & Logan St,"181,372",4700 N Logan St,,Denver,CO,,39.78432135,-104.98233571,PK,"Picnic Tables, Picnic Shelter, Playground, Outdoor Pool, Basketball Court, Football Field, Soccer Field, Baseball / Softball Field",documents/parkart/ParkArt_Argo Park.pdf,images/Parks/argopark.jpg,No,2013-05-01 00:00:00,{00000000-0000-0000-0000-000000000000}
Berkeley & Burlington,Unnamed Berkeley & Burlington Park,21,Park,Pocket,0.16671436,Yes,1946,None,NW,9,1,Berkeley Pl & Burlington Pl,"366,282",1800 W Berkeley Pl,,Denver,CO,,39.79016182,-105.00856987,,Passive Open Space,0,images/Parks/no_imagerec.gif,No,2009-07-29 00:00:00,{00000000-0000-0000-0000-000000000000}
Capitol Hill Reservoir,Capitol Hill Reservoir,303,Park,Athletic Multiuse Complex,7.07466402,Not Eligible,Not Applicable,None,E,10,3,9th Av & Elizabeth St,,950 N Josephine St,,Denver,CO,,39.7320139,-104.95761398,,Soccer Field Complex,documents/parkart/ParkArt_Capitol Hill Reservoir.pdf,images/Parks/no_imagerec.gif,No,2009-10-07 00:00:00,{00000000-0000-0000-0000-000000000000}
La Alma / Lincoln,La Alma / Lincoln Park,315,Park,Neighborhood,15.04019497,Yes,1885,None,NW,9,6,11th Av & Mariposa St,"163,468",1325 W 11th Ave,,Denver,CO,,39.73526875,-105.00406227,PK,"Recreation Center, Playground, Amphitheater, Outdoor Pool, Basketball Court, Picnic Shelter, Picnic Tables, Benches, Football Field, Tennis Court, Baseball / Softball Field, Picnic Area",documents/parkart/ParkArt_La Alma _ Lincoln Park.pdf,images/Parks/lincolnpark.jpg,Yes,2009-01-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Verbena,Verbena Park,L18,Park,Neighborhood,7.2445833,Yes,1969,None,NE,5,3,11th Av & Verbena St,"349,580",1151 N Verbena St,,Denver,CO,,39.73424545,-104.89126847,PK,"Picnic Shelter, Picnic Tables, Benches, Playground, Basketball Court, Baseball / Softball Field, Soccer Field, Bike/Pedestrian Path",documents/parkart/ParkArt_Verbena Park.pdf,images/Parks/verbenapark.jpg,Yes,2008-12-02 00:00:00,{00000000-0000-0000-0000-000000000000}
Montclair,Montclair Park,408,Park,Neighborhood,2.35621518,Yes,1908,None,E,5,3,12th Av & Oneida St,"174,685",6820 E 12th Ave,,Denver,CO,,39.73499473,-104.90877801,PK,"Historic Site,  Montclair Civic Building (The Mulkery), Benches, Picnic Tables, Playground, Horseshoe Pits, Tennis Court, Picnic Area",documents/parkart/ParkArt_Montclair Park.pdf,images/Parks/montclairpark.jpg,Yes,2008-12-02 00:00:00,{00000000-0000-0000-0000-000000000000}
Denison,Denison Park,458,Park,Neighborhood,2.40181524,Yes,1977,None,E,5,3,11th Av & Quebec St,"356,921",1105 N Quebec St,,Denver,CO,,39.73360398,-104.9040755,PK,"Benches, Picnic Tables, Playground, Basketball Court, Horseshoe Pits",documents/parkart/ParkArt_Denison Park.pdf,images/Parks/dennisonpark.jpg,Yes,2013-02-05 00:00:00,{00000000-0000-0000-0000-000000000000}
Westwood Utility,Westwood Utility Easement,812,Open Space,Open Space,3.44299408,Not Eligible,Not Applicable,None,SW,3,4,Kentucky Av & Perry St,,950 S Osceola St,,Denver,CO,,39.70011391,-105.0396619,,"Open Space, Natural Areas, Community Garden, Bike/Pedestrian Path",documents/parkart/ParkArt_Westwood Utility Easement.pdf,images/Parks/no_imagerec.gif,Yes,2009-06-08 00:00:00,{00000000-0000-0000-0000-000000000000}
Mayfair,Mayfair Park,432,Park,Neighborhood,4.89123455,Yes,1995,None,E,5,3,10th Av & Ivy St,"356,590",1000 N Ivy St,,Denver,CO,,39.73214564,-104.920564,PK,"Benches, Picnic Tables, Playground, Basketball Court, Bike/Pedestrian Path, Flower Beds, Natural Areas",documents/parkart/ParkArt_Mayfair Park.pdf,images/Parks/mayfairpark.jpg,Yes,2008-12-02 00:00:00,{00000000-0000-0000-0000-000000000000}
Highline Canal (GVR Golf),Highline Canal - GVR Golf Course,571,Trail,Trail,10.08637215,Not Eligible,,,NE,11,5,Highline Canal - GVR Golf Course,,,,Denver,CO,,39.78904301,-104.74740929,,"Bike/Pedestrian Path, High Line Canal Trail, Open Space, Natural Areas",,,Yes,2013-11-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Highline Canal (49th Ave),Highline Canal - Orleans to Nepal,570,Trail,Trail,1.04079508,Not Eligible,,,NE,11,5,Highline Canal - Orleans to Nepal,,,,Denver,CO,,39.78386098,-104.7391918,,"Bike/Pedestrian Path, High Line Canal Trail, Open Space, Natural Areas",,,Yes,2013-11-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Highline Canal (at Picadilly),Highline Canal - Picadilly to Orleans,569,Trail,Trail,2.75362044,Not Eligible,,,NE,11,5,Highline Canal - Picadilly to Orleans,,,,Denver,CO,,39.78363244,-104.7358746,,"Bike/Pedestrian Path, High Line Canal Trail, Open Space, Natural Areas",,,Yes,2013-11-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Steel St Bikeway,Steele St Bikeway,326,Trail,Trail,0.6017405,Not Eligible,Not Applicable,N/A,Citywide,6,,Steele St - Virginia to Exposition,,,,Denver,CO,,39.70605015,-104.9500095,,Off-street Trail Connection,,,No,2013-11-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Sunken Gardens,Sunken Gardens Park,318,Park,Neighborhood,11.12443689,Yes,1904,2002,NW,9,6,8th Av & Deleware St,,800 N Delaware St,,Denver,CO,,39.73143345,-104.99318366,PK,"Benches, Playground, Picnic Tables, Basketball Court, Multi-purpose Field (Lacrosse, Rugby, Soccer), Bike/Pedestrian Path, Picnic Area",documents/parkart/ParkArt_Sunken Gardens Park.pdf,images/Parks/sunkengardenspark.jpg,No,2009-01-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Quality Hill,Quality Hill Park,342,Park,Pocket,0.28167168,Yes,1979,None,NW,10,6,10th Av & Pennsylvania St,"366,226",450 E 10th Ave,,Denver,CO,,39.73178373,-104.9813802,PK,"Benches, Picnic Tables, Plaza, Drinking Fountain",documents/parkart/ParkArt_Quality Hill Park.pdf,images/Parks/qualityhillpark.jpg,Yes,2009-01-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Hicks Mountain,Hicks Mountain Tract,M28,Conservation Tract,Mountain,816.37531591,Yes,1926,2008,MP,None,None,,,,,,CO,,39.64605338,-105.43963705,,"Scenic View, Wildlife Habitat",0,images/Parks/no_imagerec.gif,,2010-05-24 00:00:00,{00000000-0000-0000-0000-000000000000}
Corwina,Corwina Park,M11,Park,Mountain,277.84714844,Yes,0,2008,MP,None,None,,,25280 Highway 74,,Evergreen,CO,80439,39.65998426,-105.28018995,MP,"Historic Shelter, Picnic Area, Tables, Grills, Restroom, Hiking Trails, Panorama Point Trail, Bear Creek Trail",documents/parkart/Corwina_ParkMap.pdf,images/Parks/Corwinapark.jpg,,2010-05-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Bow Mar Heights,Bow Mar Heights Park,151,Park,Neighborhood,17.9570163,Yes,1974,None,SW,2,4,Newton St & Rutgers Pl,,4000 W Rutgers Pl,,Denver,CO,,39.63441862,-105.03819338,PK,"Benches, Picnic Tables, Natural Areas, Bike/Pedestrian Path",documents/parkart/ParkArt_Bow Mar Heights Park.pdf,images/Parks/bowmarheightspark.jpg,Yes,2008-11-07 00:00:00,{00000000-0000-0000-0000-000000000000}
Wallace,Wallace (George M) Park,612,Park,Community,24.82107756,Yes,1967,1983,E,4,3,Belleview Av & DTC Blvd,,4700 SDTC Blvd,,Denver,CO,,39.62947316,-104.89036826,PK,"Benches, Picnic Tables, Playground, Flower Beds, Bike/Pedestrian Path, Goldsmith Gulch Trail",documents/parkart/ParkArt_Wallace (George M) Park.pdf,images/Parks/wallacepark.jpg,Yes,2009-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Wallace North,Wallace (George M) Park North,611,Park,Community,7.72982581,Yes,1967,1983,E,4,3,Temple Av & DTC Blvd,,4600 S DTC Blvd,,Denver,CO,,39.63355078,-104.89256012,,"Benches, Bike/Pedestrian Path, Goldsmith Gulch Trail",documents/parkart/ParkArt_Wallace (George M) Park North.pdf,images/Parks/wallacepark.jpg,Yes,2009-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Weir Gulch Marina,Weir Gulch Marina Park,917,Park,Neighborhood,6.67490491,No,1972,2010,NW,9,1,9th Av & Platte River,"70,524",2620 W 9th Ave,,Denver,CO,,39.73092807,-105.01911751,PK,"Benches, Picnic Tables, Basketball Court, Bike/Pedestrian Path, Connection to South Platte River Trail",documents/parkart/ParkArt_Weir Gulch Marina Park.pdf,images/Parks/weirgulchmarinapark.jpg,No,2014-12-26 00:00:00,{00000000-0000-0000-0000-000000000000}
Kittredge,Kittredge Park,461,Park,Neighborhood,2.21568906,Yes,1975,None,E,5,3,8th Av & Oneida St,"128,189",851 N Olive St,,Denver,CO,,39.72989403,-104.90750414,PK,"Benches, Picnic Tables, Playground, Softball Field, Bike/Pedestrian Path, Drinking Fountain",documents/parkart/ParkArt_Kittredge Park.pdf,images/Parks/kittredgepark.jpg,Yes,2008-12-02 00:00:00,{00000000-0000-0000-0000-000000000000}
Southwest Auto,Southwest Auto Park,180,Park,Pocket,1.5422345,Yes - 2013 January,1988,None,SW,2,4,Union Av & Balsam Way,"156,198",8301 W Union Ave,,Denver,CO,,39.63164095,-105.09141262,PK,"Bike/Pedestrian Path, Tennis Court, Drinking Fountain, Benches",documents/parkart/ParkArt_Southwest Auto Park.pdf,images/Parks/southwestautopark.jpg,Yes,2009-08-31 00:00:00,{00000000-0000-0000-0000-000000000000}
Barnum North,Barnum North Park,23,Park,Athletic Multiuse Complex,17.21072364,Yes,1951,None,NW,3,1,6th Av & Federal Blvd,"375,603",3144 W 6th Ave,,Denver,CO,,39.72679019,-105.02719235,PK,"Soccer Field, Baseball / Softball Field Complex, Natural Areas, Bleachers, Bike Skills Course",documents/parkart/ParkArt_Barnum North Park.pdf,images/Parks/barnumpark1.jpg,No,2009-02-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Grant-Humphrey's,Grant-Humphrey's Mansion Park,338,Park,Special Use,1.88431131,Yes,1977,None,NW,10,6,8th Av & Pearl St,"356,998",750 N Pennsylvania St,,Denver,CO,,39.72821501,-104.98062272,PK,"Historical Site, Grant-Humphrey's Mansion",documents/parkart/ParkArt_Grant-Humphrey's Mansion Park.pdf,images/Parks/granthumphreyspark.jpg,Yes,2009-01-22 00:00:00,{00000000-0000-0000-0000-000000000000}
Governors,Governors Park,316,Park,Neighborhood,1.97674889,Yes,1966,None,NW,10,6,7th Av & Logan St,"68,458",701 N Pennsylvania St,,Denver,CO,,39.72788859,-104.98162257,PK,"Benches, Drinking Fountain, Picnic Tables, Playground, Public Art, Bike/Pedestrian Path",documents/parkart/ParkArt_Governors Park.pdf,images/Parks/govenorspark.jpg,Yes,2009-01-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Barnum,Barnum Park,804,Park,Community,34.01516402,Yes,1906,2008,SW,3,4,4th Av & Hooker St,"75,922",360 N Hooker St,,Denver,CO,,39.72359373,-105.02812628,PK,"Recreation Center, Outdoor Pool, Restroom, Dog Park, Playground, Basketball Court, Tennis Court, Lake, Picnic Tables, Picnic Shelter, Benches, Bike/Pedestrian Path, Picnic Area",documents/parkart/ParkArt_Barnum Park.pdf,images/Parks/barnumpark2.jpg,Yes,2008-11-20 00:00:00,{00000000-0000-0000-0000-000000000000}
Creekfront,Creekfront Park,349,Park,Pocket,1.01791006,No,Not Applicable,None,NW,8,6,Larimer St & Speer Blvd,"356,897",1300 Larimer St,,Denver,CO,,39.74641304,-105.00011277,PK,"Bike/Pedestrian Path, Cherry Creek Trail, Fountain, Benches",documents/parkart/ParkArt_Creekfront Park.pdf,images/Parks/no_imagerec.gif,No,2009-10-07 00:00:00,{00000000-0000-0000-0000-000000000000}
Swansea Neighborhood,Swansea Neighborhood Park,941,Park,Neighborhood,3.33640537,Yes - 2014 May,2001,2004,NW,9,2,51St Av & Steele St,"23,682",3200 E 52nd Ave,,Denver,CO,,39.79048574,-104.94922757,PK,"Picnic Tables, Playground, Drinking Fountain, Benches, Bike/Pedestrian Path",documents/parkart/ParkArt_Swansea Neighborhood Park.pdf,images/Parks/swanseaneighborhoodpark.jpg,Yes,2009-03-24 00:00:00,{00000000-0000-0000-0000-000000000000}
Kennedy Golf Course,Kennedy (John F) Municipal Golf Course,GK1,Golf,Golf,277.30494097,Partial,1964,None,E,4,3,Hampden Av & Havana St,"148,122",10500 E Hampden Ave,,Denver,CO,,39.65128378,-104.86673307,,Unlisted,documents/parkart/KennedyGolfCourse.pdf,,No,2009-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Pence,Pence Park,M42,Park,Mountain,304.11807991,Yes,1924,2008,MP,None,None,,,4400 Parmalee Gulch Road,,Evergreen,CO,80439,39.63406415,-105.28492457,MP,"Bear Creek Trail, Parking, Restroom, Picnic Tables, Grill",documents/parkart/Pence_ParkMap.pdf,images/Parks/pencemtnpark.jpg,,2010-05-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Heron Pond,Heron Pond/Heller Open Space,925,Open Space,Open Space,42.88065842,No,1998,2004,NW,9,2,53rd Av & Marion St,"356,561",1401 E 53rd Ave,,Denver,CO,,39.79408858,-104.9742722,PK,"Lake, Open Space, Natural Areas",documents/parkart/ParkArt_Heron Pond - Heller Open Space.pdf,images/Parks/no_imagerec.gif,No,2009-04-28 00:00:00,{00000000-0000-0000-0000-000000000000}
Parmalee Gulch,Parmalee Gulch Tract,M41,Conservation Tract,Mountain,2.76454367,Yes,0,2008,MP,None,None,,,,,,CO,,39.6300844,-105.25629596,,Natural Open Space,0,images/Parks/no_imagerec.gif,,2010-05-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Little Park,Little Park,M31,Park,Mountain,412.93622557,Yes,1924,2008,MP,None,None,,,21700 State Highway 74,,Idledale,CO,80453,39.65649051,-105.2477115,MP,"Historic Stone Wellhouse, Picnic Area, Tables, Grills, Restroom, Volleyball Court, Horseshoe Pits, Bear Creek Trail",documents/parkart/Little_ParkMap.pdf,images/Parks/littlepark.jpg,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Turkey Creek,Turkey Creek Park,M52,Park,Mountain,57.2968497,Yes,1924,2008,MP,None,None,,,6900 South Turkey Creek Road,,Morrison,CO,80465,39.59317785,-105.22551698,MP,"Picnic Area, Tables, Grills, Restroom",,images/Parks/turkeycreekpark.jpg,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Fenders,Fenders Tract,M22,Conservation Tract,Mountain,40.45927402,Yes,1924,2008,MP,None,None,,,,,,CO,,39.57150333,-105.20566601,,"Scenic View, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Berrian Mountain,Berrian Mountain Tract,M06,Conservation Tract,Mountain,481.4198926,Yes,1926,2008,MP,None,None,,,,,,CO,,39.55959606,-105.29591585,,"Scenic View, Wildlife Habitat, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
West Jefferson School,West Jefferson School Tract,M53,Conservation Tract,Mountain,79.59565667,Yes,1926,2008,MP,None,None,,,,,,CO,,39.54674296,-105.31139303,,Natural Open Space,0,images/Parks/no_imagerec.gif,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Double Header Mountain,Double Header Mountain Tract,M17,Conservation Tract,Mountain,42.62075446,Yes,1924,2008,MP,None,None,,,,,,CO,,39.54945412,-105.27088494,,"Scenic View, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Yeagge Peak,Yeagge Peak Tract,M55,Conservation Tract,Mountain,41.12075376,Yes,1924,2008,MP,None,None,,,,,,CO,,39.54202903,-105.2208257,,"Scenic View, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
North Turkey Creek,North Turkey Creek Tract,M39,Conservation Tract,Mountain,39.83108361,Yes,1924,2008,MP,None,None,,,,,,CO,,39.58238399,-105.28012354,,"Scenic View, Natural Open Space",0,images/Parks/turkeycreekmtnpark.jpg,,2010-05-21 00:00:00,{00000000-0000-0000-0000-000000000000}
Hampden Heights,Hampden Heights Park,614,Park,Community,32.49345113,Yes - 2014 May,1971,None,E,4,3,Cornell Av & Dayton St,"147,281",3301 S Clinton St,,Denver,CO,,39.65795128,-104.87747602,PK,"Benches, Picnic Tables, Playground, Basketball Court, Bike/Pedestrian Path, Soccer Field, Baseball / Softball Field, Drinking Fountain, Picnic Area",documents/parkart/ParkArt_Hampden Heights Park.pdf,images/Parks/hampdenheightspark.jpg,Yes,2009-06-12 00:00:00,{00000000-0000-0000-0000-000000000000}
Rosedale,Rosedale Park,826,Park,Neighborhood,12.75293564,Yes,1921,None,SW,7,4,Iliff Av & Logan St,"115,356",300 E Iliff Ave,,Denver,CO,,39.67281415,-104.98389765,PK,"Benches, Community Garden, Natural Areas, Bike/Pedestrian Path, Picnic Tables",documents/parkart/ParkArt_Rosedale Park.pdf,images/Parks/rosedalepark.jpg,Yes,2008-12-23 00:00:00,{00000000-0000-0000-0000-000000000000}
Magna Carta,Magna Carta Park,631,Park,Neighborhood,3.59090681,Partial,1960,None,E,4,3,Hampden Av & Colorado Blvd,"356,589",3400 S Colorado Blvd,,Denver,CO,,39.65407127,-104.939948,PK,"Picnic Tables, Playground, Soccer Field, Benches, Bike/Pedestrian Path, Picnic Area",documents/parkart/ParkArt_Magna Carta Park.pdf,images/Parks/magnacartapark.jpg,Yes,2009-06-12 00:00:00,{00000000-0000-0000-0000-000000000000}
City Park Municipal Golf Course,City Park Municipal Golf Course,GC1,Golf,Golf,138.8266545,Yes,,None,E,8,2,23rd Av & York St,"58,322",2500 N York St,,Denver,CO,,39.75279658,-104.95036587,,Unlisted,documents/parkart/CityParkGolfCourse.pdf,images/Parks/no_imagerec.gif,Yes,2014-01-01 00:00:00,{00000000-0000-0000-0000-000000000000}
Harvey,Harvey Park,130,Park,Community,24.54599471,Yes,1954,None,SW,2,4,Evans Av & Tennyson St,"118,257",2120 S Tennyson Way,,Denver,CO,,39.67872006,-105.04096364,PK,"Recreation Center, Drinking Fountain, Picnic Tables, Playground, Flower Beds, Lake, Outdoor Pool, Restroom, Bike/Pedestrian Path, Football Field, Soccer Field, Horseshoe Pits, Picnic Area",documents/parkart/ParkArt_Harvey Park.pdf,images/Parks/harveypark.jpg,No,2008-11-25 00:00:00,{00000000-0000-0000-0000-000000000000}
DeBoer,DeBoer (SR) Park,805,Park,Neighborhood,4.74970471,Partial,1956,None,SW,7,3,Harvard Av & Vine St,"113,549",2505 S York St,,Denver,CO,,39.67090375,-104.96207924,PK,"Drinking Fountain, Picnic Tables, Basketball Court, Playground, Bike/pedestrian Path, Harvard Gulch Trail",documents/parkart/ParkArt_DeBoer (SR) Park.pdf,images/Parks/deboerpark.jpg,Yes,2008-12-23 00:00:00,{00000000-0000-0000-0000-000000000000}
City of Kunming,City of Kunming Park,833,Park,Neighborhood,3.62653177,Yes,1908,None,SW,7,4,Sherman St & Harvard Av,"356,801",200 E Harvard Ave,,Denver,CO,,39.67037173,-104.98462429,PK,"Benches, Plaza, Drinking Fountain, Flower Beds",documents/parkart/ParkArt_City of Kunming Park.pdf,images/Parks/citykunmingpark.jpg,Yes,2008-12-23 00:00:00,{00000000-0000-0000-0000-000000000000}
Harvard Gulch East,Harvard Gulch East,810,Park,Neighborhood,10.7051183,No,1970,2010,SW,7,3,Harvard Gulch - Downing St To Harrison St,"357,060",3301 E Vassar Ave,,Denver,CO,,39.66953964,-104.96025466,PK,"Bike/Pedestrian Path, Harvard Gulch Trail, Open Space, Natural Areas, Picnic Tables, Benches",documents/parkart/ParkArt_Harvard Gulch East Park.pdf,images/Parks/harvardgulcheastpark.jpg,No,,{00000000-0000-0000-0000-000000000000}
McWilliams,McWilliams (Robert H) Park,814,Park,Neighborhood,7.85741207,Yes,1958,None,SW,6,3,St Paul St & Yale Av,"366,241",2701 E Yale Ave,,Denver,CO,,39.6680793,-104.95135841,PK,"Drinking Fountain, Picnic Tables, Playground, Restroom, Basketball Court, Bike/Pedestrian Path, Harvard Gulch Trail, Baseball / Softball Field, Soccer Field, Picnic Area",documents/parkart/ParkArt_McWilliams (Robert H) Park.pdf,images/Parks/mcwilliamspark.jpg,Yes,2009-12-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Central Park,Central Park,561,Park,Regional,78.89186211,Yes - 2013 January,2008,2002,NE,11,2,Martin Luther King Jr Blvd & Central Park Blvd,"186,960",8801 E Martin Luther King Jr Blvd,,Denver,CO,,39.7615607,-104.88396513,PK,"Lake, Benches, Picnic Shelter, Restroom, Drinking Fountain, Playground, Soccer Field, Bike/Pedestrian Path, Natural Areas, Interactive Fountain, Picnic Area, Bocce Ball Court",documents/parkart/ParkArt_Central Park.pdf,images/Parks/centralpark.jpg,No,2009-02-27 00:00:00,{00000000-0000-0000-0000-000000000000}
